frame.time_relative,ip.src,ip.dst,_ws.col.protocol,tcp.seq,tcp.ack,tcp.nxtseq,_ws.col.info,mqtt.msg_text,tcp.payload
"84.410834000","192.168.146.97","192.168.146.112","MQTT","94339","49","94416","Publish Message [ecg]","{""data"": {""time"": ""13:01:14:196"", ""sig no"": 1242, ""value"": 0.5162432}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a313936222c2022736967206e6f223a20313234322c202276616c7565223a20302e353136323433327d7d"
"84.457652000","192.168.146.97","192.168.146.187","TCP","5","94503","5","8883 → 51901 [ACK] Seq=5 Ack=94503 Win=64800 Len=0",,
"84.461920000","192.168.146.187","192.168.146.97","MQTT","94503","5","94580","Publish Message [ecg][Malformed Packet]","{""data"": {""time"": ""13:01:14:305"", ""sig no"": 1244, ""value"": 0.5062333}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a333035222c2022736967206e6f223a20313234342c202276616c7565223a20302e353036323333337d7d"
"84.504963000","192.168.146.97","192.168.146.187","TCP","5","94580","5","8883 → 51901 [ACK] Seq=5 Ack=94580 Win=64723 Len=0",,
"84.510173000","192.168.146.187","192.168.146.97","MQTT","94580","5","94657","Publish Message [ecg][Malformed Packet]","{""data"": {""time"": ""13:01:14:360"", ""sig no"": 1245, ""value"": 0.4529946}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a333630222c2022736967206e6f223a20313234352c202276616c7565223a20302e343532393934367d7d"
"84.551775000","192.168.146.97","192.168.146.187","TCP","5","94657","5","8883 → 51901 [ACK] Seq=5 Ack=94657 Win=64646 Len=0",,
"84.560192000","192.168.146.187","192.168.146.97","TCP","94657","5","94659","",,"304b"
"84.591407000","192.168.146.112","192.168.146.97","TCP","49","94416","49","61932 → 8883 [ACK] Seq=49 Ack=94416 Win=64256 Len=0",,
"84.591485000","192.168.146.97","192.168.146.112","MQTT","94416","49","94647","Publish Message [ecg], Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:14:251"", ""sig no"": 1243, ""value"": 0.4947433}},{""data"": {""time"": ""13:01:14:305"", ""sig no"": 1244, ""value"": 0.5062333}},{""data"": {""time"": ""13:01:14:360"", ""sig no"": 1245, ""value"": 0.4529946}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a323531222c2022736967206e6f223a20313234332c202276616c7565223a20302e343934373433337d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a333035222c2022736967206e6f223a20313234342c202276616c7565223a20302e353036323333337d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a333630222c2022736967206e6f223a20313234352c202276616c7565223a20302e343532393934367d7d"
"84.612979000","192.168.146.97","192.168.146.187","TCP","5","94659","5","8883 → 51901 [ACK] Seq=5 Ack=94659 Win=64644 Len=0",,
"84.618026000","192.168.146.187","192.168.146.97","MQTT","94659","5","94811","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:14:415"", ""sig no"": 1246, ""value"": 0.5221027}},{""data"": {""time"": ""13:01:14:470"", ""sig no"": 1247, ""value"": 0.5262532}}","00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a343135222c2022736967206e6f223a20313234362c202276616c7565223a20302e353232313032377d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a343730222c2022736967206e6f223a20313234372c202276616c7565223a20302e353236323533327d7d"
"84.658584000","192.168.146.97","192.168.146.187","TCP","5","94811","5","8883 → 51901 [ACK] Seq=5 Ack=94811 Win=64492 Len=0",,
"84.658952000","192.168.146.112","192.168.146.97","TCP","49","94647","49","61932 → 8883 [ACK] Seq=49 Ack=94647 Win=65536 Len=0",,
"84.659037000","192.168.146.97","192.168.146.112","MQTT","94647","49","94801","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:14:415"", ""sig no"": 1246, ""value"": 0.5221027}},{""data"": {""time"": ""13:01:14:470"", ""sig no"": 1247, ""value"": 0.5262532}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a343135222c2022736967206e6f223a20313234362c202276616c7565223a20302e353232313032377d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a343730222c2022736967206e6f223a20313234372c202276616c7565223a20302e353236323533327d7d"
"84.670122000","192.168.146.187","192.168.146.97","TCP","94811","5","94813","",,"304a"
"84.717262000","192.168.146.112","192.168.146.97","TCP","49","94801","49","61932 → 8883 [ACK] Seq=49 Ack=94801 Win=65536 Len=0",,
"84.721480000","192.168.146.97","192.168.146.187","TCP","5","94813","5","8883 → 51901 [ACK] Seq=5 Ack=94813 Win=64490 Len=0",,
"84.726310000","192.168.146.187","192.168.146.97","MQTT","94813","5","94964","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:14:525"", ""sig no"": 1248, ""value"": 0.544564}},{""data"": {""time"": ""13:01:14:580"", ""sig no"": 1249, ""value"": 0.5592126}}","00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a353235222c2022736967206e6f223a20313234382c202276616c7565223a20302e3534343536347d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a353830222c2022736967206e6f223a20313234392c202276616c7565223a20302e353539323132367d7d"
"84.727033000","192.168.146.97","192.168.146.112","MQTT","94801","49","94877","Publish Message [ecg]","{""data"": {""time"": ""13:01:14:525"", ""sig no"": 1248, ""value"": 0.544564}}","304a00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a353235222c2022736967206e6f223a20313234382c202276616c7565223a20302e3534343536347d7d"
"84.768424000","192.168.146.97","192.168.146.187","TCP","5","94964","5","8883 → 51901 [ACK] Seq=5 Ack=94964 Win=64339 Len=0",,
"84.778928000","192.168.146.187","192.168.146.97","TCP","94964","5","94966","",,"304b"
"84.783589000","192.168.146.112","192.168.146.97","TCP","49","94877","49","61932 → 8883 [ACK] Seq=49 Ack=94877 Win=65280 Len=0",,
"84.783664000","192.168.146.97","192.168.146.112","MQTT","94877","49","94954","Publish Message [ecg]","{""data"": {""time"": ""13:01:14:580"", ""sig no"": 1249, ""value"": 0.5592126}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a353830222c2022736967206e6f223a20313234392c202276616c7565223a20302e353539323132367d7d"
"84.830309000","192.168.146.97","192.168.146.187","TCP","5","94966","5","8883 → 51901 [ACK] Seq=5 Ack=94966 Win=64337 Len=0",,
"84.834541000","192.168.146.187","192.168.146.97","MQTT","94966","5","95118","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:14:634"", ""sig no"": 1250, ""value"": 0.5150225}},{""data"": {""time"": ""13:01:14:689"", ""sig no"": 1251, ""value"": 0.4891279}}","00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a363334222c2022736967206e6f223a20313235302c202276616c7565223a20302e353135303232357d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a363839222c2022736967206e6f223a20313235312c202276616c7565223a20302e343839313237397d7d"
"84.843208000","192.168.146.112","192.168.146.97","TCP","49","94954","49","61932 → 8883 [ACK] Seq=49 Ack=94954 Win=65280 Len=0",,
"84.843286000","192.168.146.97","192.168.146.112","MQTT","94954","49","95108","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:14:634"", ""sig no"": 1250, ""value"": 0.5150225}},{""data"": {""time"": ""13:01:14:689"", ""sig no"": 1251, ""value"": 0.4891279}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a363334222c2022736967206e6f223a20313235302c202276616c7565223a20302e353135303232357d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a363839222c2022736967206e6f223a20313235312c202276616c7565223a20302e343839313237397d7d"
"84.877326000","192.168.146.97","192.168.146.187","TCP","5","95118","5","8883 → 51901 [ACK] Seq=5 Ack=95118 Win=64185 Len=0",,
"84.893766000","192.168.146.187","192.168.146.97","TCP","95118","5","95120","",,"304b"
"84.916566000","192.168.146.112","192.168.146.97","TCP","49","95108","49","61932 → 8883 [ACK] Seq=49 Ack=95108 Win=65024 Len=0",,
"84.939659000","192.168.146.97","192.168.146.187","TCP","5","95120","5","8883 → 51901 [ACK] Seq=5 Ack=95120 Win=64183 Len=0",,
"84.949686000","192.168.146.187","192.168.146.97","MQTT","95120","5","95272","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:14:744"", ""sig no"": 1252, ""value"": 0.5045243}},{""data"": {""time"": ""13:01:15:799"", ""sig no"": 1253, ""value"": 0.5042801}}","00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a373434222c2022736967206e6f223a20313235322c202276616c7565223a20302e353034353234337d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31353a373939222c2022736967206e6f223a20313235332c202276616c7565223a20302e353034323830317d7d"
"84.951185000","192.168.146.97","192.168.146.112","MQTT","95108","49","95185","Publish Message [ecg]","{""data"": {""time"": ""13:01:14:744"", ""sig no"": 1252, ""value"": 0.5045243}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31343a373434222c2022736967206e6f223a20313235322c202276616c7565223a20302e353034353234337d7d"
"85.001628000","192.168.146.97","192.168.146.187","TCP","5","95272","5","8883 → 51901 [ACK] Seq=5 Ack=95272 Win=64031 Len=0",,
"85.006248000","192.168.146.187","192.168.146.97","MQTT","95272","5","95348","Publish Message [ecg]","{""data"": {""time"": ""13:01:15:853"", ""sig no"": 1254, ""value"": 0.492546}}","304a00036563677b2264617461223a207b2274696d65223a202231333a30313a31353a383533222c2022736967206e6f223a20313235342c202276616c7565223a20302e3439323534367d7d"
"85.049007000","192.168.146.97","192.168.146.187","TCP","5","95348","5","8883 → 51901 [ACK] Seq=5 Ack=95348 Win=64800 Len=0",,
"85.055250000","192.168.146.187","192.168.146.97","MQTT","95348","5","95425","Publish Message [ecg][Malformed Packet]","{""data"": {""time"": ""13:01:15:908"", ""sig no"": 1255, ""value"": 0.5106279}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31353a393038222c2022736967206e6f223a20313235352c202276616c7565223a20302e353130363237397d7d"
"85.095437000","192.168.146.97","192.168.146.187","TCP","5","95425","5","8883 → 51901 [ACK] Seq=5 Ack=95425 Win=64723 Len=0",,
"85.107697000","192.168.146.187","192.168.146.97","TCP","95425","5","95427","",,"304b"
"85.111515000","192.168.146.112","192.168.146.97","TCP","49","95185","49","61932 → 8883 [ACK] Seq=49 Ack=95185 Win=65024 Len=0",,
"85.111611000","192.168.146.97","192.168.146.112","MQTT","95185","49","95415","Publish Message [ecg], Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:15:799"", ""sig no"": 1253, ""value"": 0.5042801}},{""data"": {""time"": ""13:01:15:853"", ""sig no"": 1254, ""value"": 0.492546}},{""data"": {""time"": ""13:01:15:908"", ""sig no"": 1255, ""value"": 0.5106279}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31353a373939222c2022736967206e6f223a20313235332c202276616c7565223a20302e353034323830317d7d304a00036563677b2264617461223a207b2274696d65223a202231333a30313a31353a383533222c2022736967206e6f223a20313235342c202276616c7565223a20302e3439323534367d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31353a393038222c2022736967206e6f223a20313235352c202276616c7565223a20302e353130363237397d7d"
